# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  5)   1.413 us    |      os_acquire_spinlock [nvidia]();
  5)   0.180 us    |      os_release_spinlock [nvidia]();
  5)   0.751 us    |      os_acquire_spinlock [nvidia]();
  5)   0.161 us    |      os_release_spinlock [nvidia]();
  5)   0.180 us    |      os_get_cpu_number [nvidia]();
  5)   0.201 us    |      os_is_isr [nvidia]();
  5) + 49.945 us   |    }
  5) + 52.579 us   |  }
  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.471 us    |      os_mem_set [nvidia]();
  2)   0.171 us    |      os_is_isr [nvidia]();
  2)   0.191 us    |      os_mem_set [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.210 us    |      os_get_current_tick [nvidia]();
  2)   0.171 us    |      os_get_current_tick [nvidia]();
  2)   0.211 us    |      os_get_current_thread [nvidia]();
  2)   0.370 us    |      os_get_cpu_number [nvidia]();
  2)   0.161 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.711 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   1.582 us    |          }
  2)   2.433 us    |        }
  2)   4.888 us    |      }
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.170 us    |      os_get_current_thread [nvidia]();
  2)   0.180 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.600 us    |      os_acquire_spinlock [nvidia]();
  2)   0.201 us    |      os_release_spinlock [nvidia]();
  2)   0.311 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.200 us    |      os_get_current_tick [nvidia]();
  2)   0.170 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.471 us    |      os_get_current_time [nvidia]();
  2) + 40.561 us   |    }
  2) + 45.418 us   |  }
  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.180 us    |      os_mem_set [nvidia]();
  2)   0.150 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.271 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.161 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.300 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   0.691 us    |          }
  2)   0.992 us    |        }
  2)   1.372 us    |      }
  2)   0.171 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.300 us    |      os_acquire_spinlock [nvidia]();
  2)   0.161 us    |      os_release_spinlock [nvidia]();
  2)   0.180 us    |      os_mem_set [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.161 us    |      os_get_current_tick [nvidia]();
  2)   0.150 us    |      os_get_current_thread [nvidia]();
  2)   0.230 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.521 us    |      os_get_current_time [nvidia]();
  2) + 13.470 us   |    }
  2) + 13.991 us   |  }
  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.150 us    |      os_is_isr [nvidia]();
  2)   0.180 us    |      os_mem_set [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.150 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.210 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   0.540 us    |          }
  2)   0.832 us    |        }
  2)   1.182 us    |      }
  2)   0.161 us    |      os_mem_set [nvidia]();
  2)   0.150 us    |      os_is_isr [nvidia]();
  2)   0.161 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.290 us    |      os_acquire_spinlock [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.351 us    |      os_get_current_tick [nvidia]();
  2)   0.291 us    |      os_release_spinlock [nvidia]();
  2)   0.150 us    |      os_is_isr [nvidia]();
  2)   0.190 us    |      os_get_current_thread [nvidia]();
  2)   0.300 us    |      os_acquire_spinlock [nvidia]();
  2)   0.290 us    |      os_release_spinlock [nvidia]();
  2)   0.180 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.170 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.150 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.200 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.190 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.161 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.161 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2) + 45.669 us   |    }
  2) + 46.109 us   |  }
  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.180 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.150 us    |      os_get_cpu_number [nvidia]();
  2)   0.200 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
